Column1,Column2
Shree Anandhaas,"747, Puliakulam, Near Lakshmi Mills Junction, Puliakulam Road, Pudur, Coimbatore, Tamil Nadu 411038, India"
Chin Chin,"No 1075-1076, Residency Hotel, Avinashi Road, Coimbatore, Tamil Nadu 641018, India"
Kowloon,"60- B1, Sivakumar Street, Saibaba Colony, Coimbatore, Tamil Nadu 641011, India"
Anjappar Chettinad Restaurant,"356, Bhathiyar Road, Gandhipuram, Coimbatore, Tamil Nadu, 641044, India"
Geetha Cafe,"3/4, Road Number 2, Ramalinga Colony, Bharathi Park, Coimbatore, Tamil Nadu 641043, India"
Hot Vada,"No 49 & 51, Hot Vada Building, Pk Ranganathan Street, Sidhapudur, Behind Sony Showroom, Coimbatore, Tamil Nadu 641044, India"
Pavilion Restaurant,"Residency Hotel, No 1075-1076, Avinashi Road, Coimbatore, Tamil Nadu 641018, India"
Annalakshmi,"106, Race Course Road, Coimbatore, India"
Sree Annapoorna,"Sree Annapoorna Hotels, RS Puram,Mettupalayam"
Bakers Corner,"The Residency, 1076, Avinashi Road, Gopala Puram, Coimbatore, India"
Junior Kuppanna,"177, Sarojini Street, Ram Nagar, Coimbatore, Tamil Nadu, 641009, India"
Thats Y On The Go,"167, Race Course, Near Photo Centre, Coimbatore, Tamil Nadu, 641002, India"
Alapenos,"411, Bharathiyar Road, Coimbatore, Tamil Nadu, 641044, India"
Venu Biryani(Dindugul),"11th Street, Gandhipuram, Coimbatore, Tamil Nadu, 641012, India"
Bawarchi,"94, East Lokamanya Street, R.S Puram, Coimbatore, Tamil Nadu 641001, India"
Avin Milk Shop And Store,ATT Colony
Aachi Mess,Tatabad Colony
Madurai Amma Mess,Tatabad Colony
Annapurna Sweets,Coimbatore Old City
Hotel Arun Jyoti Restaurant,Katoor
Cholayil Sanjeevanam,"50, Block 1, 1st Floor, AMM Towers, Thiruvalluvar Road, Mogappair,East Oppanakara Street Area"
Orchard,"Hotel City Tower, 56, Sivasamy Road, Ramnagar,Katoor"
Cloud 9,"Hotel City Tower, 56, Sivasamy Road, Ramnagar,Katoor"
Palms,"Hotel Rathna Residency, No 355, Variety Hall Road,East Oppanakara Street Area"
Fusion,"Hotel Rathna Residency, No 355, Variety Hall Road,East Oppanakara Street Area"
Valayapatti,"Hotel Rathna Residency, No 355, Variety Hall Road,East Oppanakara Street Area"
Pinc,"Hotel Mangala International, 340, Nehru Street, Ramnagar,Katoor"
Swadhishta,"Hotel Mangala International, 340, Nehru Street, Ramnagar,Katoor"
Binha Biryani Hotel,East Oppanakara Street Area
South East,"Hotel Alankar Grande, 10, Sivasamy Road, Ramnagar,Katoor"
Paruvaa,"Hotel Heritage, Sivasamy Road, Ramnagar,Katoor"
Golden Crop,"CAG Pride Hotel, 312, Bharathiyar Road,Women Polytechnic Area"
Food Court,"Hotel Heritage, Sivasamy Road, Ramnagar,Katoor"
Apex Garden,"Hotel Heritage, Sivasamy Road, Ramnagar,Katoor"
Afghans Grill,"The Residency, 1076, Avinashi Road,Police Recriutment College"
Adyar Ananda Bhawan Restaurant,Women Polytechnic Area
Shanghaai,"Hotel City Tower, 56, Sivasamy Road, Ramnagar,Katoor"
Chinchin,"The Residency, 1076, Avinashi Road,Police Recriutment College"
Thanalaxmi Coffee Bar,NGGO Colony
Thambiyannan Biryani Hotel Ac,
Sri Murugan Bakery,Arjuna Nagar
Sri Andavan Bakery,NGGO Colony
Sree Lakshmi Bakery,K Vadamadurai
Sathi Foods,Arjuna Nagar
Saravana Bakery,K Vadamadurai
Ragam Bakery,K Vadamadurai
Ln Bakery,NGGO Colony
Kritika Bakery,NGGO Colony
Khrisna Bakery,NGGO Colony
Dharshana Bakery,Appanaikan Palyam
Dhanalakshmi Bakery,K Vadamadurai
Bai Coffee Shop,NGGO Colony
Bon Bon Ice Creams,Mettupalayam
Bon Bon Ice Creams,Katoor
Bon Bon Ice Creams,Grey Town
Veg Hotel,Sri Lakshmi Nagar
Ganesh Mess,Aiacl Lakshmi Mills
Ruchi Restaurant,Sri Krishna Nagar
Thai Unavagam,Sri Lakshmi Nagar
Velu Restaurant,Sri Lakshmi Nagar
Papus Restaurant,KRG Nagar
Aiswarya Bakery,Sri Lakshmi Nagar
Rv Bakery,Aiacl Lakshmi Mills
Annapoorna Gowrishankar,Katoor
Subbu Mess,Katoor
Venu,Gandhipuram
Delhi Sweet,Katoor
Anandhas,Gandhipuram
Sri Angannan Briyani Hotel,East Oppanakara Street Area
Annapoorna Hotel,Income Tax Officers Quarters
Jaya Bakers,Katoor
Malabar Restaurant,Central Bus Stand
Priyadarsini Sweets,East Oppanakara Street Area
Lalithas Restaurant,Thudialur
Aishwarya Biriyani Centre,Doctors Colony
Ashoka Cafeteria,Coimbatore Old City
Foody Cafe Restaurant,Thamarai Mills
Murugar Bake,Sundar Nagar
Royal Kitchen,SIEMA
Temple Restaurant,Vadakovai
Anbu Mess,Thudialur
Pg Mess,Forest College Campus
Cpc Canteen,Thudialur
Aishwarya Bakery,KRG Nagar
Kr Bakery,KRG Nagar
Ganesh Bakery,KRG Nagar
Prasannas Bakery,Gandhipuram
Kaveri Bakery,Ramar Koil
Thangam Bakery 1,Textool Layout
Thangam Bakery,Thamarai Mills
Rg Bakery,Agraharam
Chandrattans Kings Bakery,Kongu Nagar
Ramanathan Bakery,Vasanth Colony
Malayala Bakery,Valankulamkulam
Indra Bakery,Vadakovai
Lyengar Bakery,Thudialur
Kasturi Bakery,Jai Nagar
Kings Bakery,"Avarampalayam Road,New Dishapudur"
Kwality Walls Swirls,"Yassh Foods 436 F, Avinashi Road, Peelamedu,Jaganathan Colony"
Shri Krishna Sweet,Lorry Pettai
Kr Bakery,Vidya Nagar
Anna Lakshmi Garden Restaurant,Gokulam Colony Near Mullainagar
Karthik Bakery,Mullai Nagar
Anandhas Vegetarian Restaurant,Anbagam
Chicken Chamber Restaurant,Jai Nagar
Krishna Bakery,NGGO Colony
Queens Kudil Garden Restaurant,Balaji Nagar
Green Home Family Restaurant,NGGO Colony
Chechi Mess,Chinnavedampatti
Rahu Mess,Police Quarters
Balaji Bakery,Chandar Nagar
Bhagiyam Mess,Punottham Nagar
Gounders Restaurant,Papan Thotam
Devan Bakery,Kreenatham
Canteen Srec,Kreenatham
Ar Bakes Restaurant,Marutham Nagar
Sri Guru Amuthas Garden Restaurant,Chinnavedampatti
Green Park Restaurant,Vincent Colony
Sri Shakti Bhawan Restaurant,Mullai Nagar Near Kurichi
Sangeeta Restaurant,Gopalapuram
Ragu Mess,"Ganpathy,Sri Lakshmi Nagar"
Gr Bakery Shop,TNHB Ganapathy Housing Unit
Vasant Bihar Restaurant,VCV Layout RS Puram
Varna Bakery And Sweets,East Oppanakara Street Area
Sweets Shop,Vasanth Colony
Sweets Corner,LGB Colony
Sweets Corner,Peons Colony
Sweets Corner,Koundam Palayam
Sweet House,Coimbatore Old City
Swastik Sweet,Mettupalayam
Surya Sweets,Pioneer Mills
Suhas Restaurant,Hope College
Snk Bakery And Sweets,Subrathal Layout
Sk Restaurant,Gandhipuram
Shri Vinayak Homely Food,Chinthamani Corporative Super Market
Shri Krishna Sweets,Mettupalayam
Shri Krishna Sweet House,Gandhipuram
Shri Hari Snacks Shop,Sanath Nagar
Shri Gayatri Sweets,Sai Baba Mission
Shri Balaji Sweets,Pioneer Mills
Shree Krishna Sweet Shop,Sri Krishna Nagar
Sarvana Veg Cafe,Textool Layout
Santosh Restaurant,Periyar Nagar
Ruby Bakery And Sweets,LIC Colony
Royal Snacks And Cool Bar,Psg Institution
Priyanka Sweets,Padma Layout
Prasanthi Restaurant,Vadakovai
Orchid Restaurant,Mettupalayam
New Vijaya Restaurant,Gopalapuram
Nellai Lala Sweets,Jaganathan Colony
Nellai Lala Sweets,Hope College
Nandani Sweets And Cake,Gopalapuram
Mitra Mini Foods,Gopalapuram
Madina Restaurant,Town Hall
Lb Sweets,Edayarpalayam
Krishna Sweets,Shivanandhapuram
Kr Restaurant,Anbagam
Kanan Sweets And Bakes,Sanath Nagar
Kamal Bakery And Sweets,Coimbatore Old City
Hotel Super Needs And Restaurant,East Oppanakara Street Area
Hotel Siruvani Veg,West Oppanakara Street Area
Hot Chips And Bakes,Sunderapuram
Food Zone,Nalvar Nagar
Family Restaurent,Amman Nagar
Cm Bakery,Gokulam Colony Near Mullainagar
City Restaurant,Vidya Nagar
Choice Restaurant,East Oppanakara Street Area
Chicken Stall,Parasakthi Nagar
Chicken Stall,Thamarai Mills
Chicken Stall,Karunanithi Nagar
Cheran Sweet Shop,Singanallor Housing Unit
Cheran Bakery And Sweets,Gopalapuram
Carmel New English Bakery,Jaganathan Colony
Ayyapa Sweets,Anbagam
Aroma Sweets,Coimbatore Old City
Annapurna Sweets Shop,Hope College
Anjali Sweets And Bakers,Women Polytechnic Area
Anai Sweets,TNHB Ganapathy Housing Unit
Ajantha Pure Vegetarian Hotel,Katoor
Aggarwal Sweet Shop,STV Nagar
Abhirami Veg Hotel,Valankulamkulam
Aakash Sweets,Koundam Palayam
Sona Juice Centre,Coimbatore Old City
Shri Sampurna Restaurant,Gandhipuram
Shri Gaurishankar,Katoor
Shri Annapoorna,"Peoples Park,Gopalapuram"
Shri Annapurna And Shri Gauri Shankar Veg Restaurant,Gopalapuram
Sangam Hotel,Mettupalayam
Sampoorna Restaurant,Gandhipuram
Rushti,Mettupalayam
Rayappa Restaurant,ATT Colony
Ranis Restaurant,Gopalapuram
Punjabi Dhaba,Sindhu Nagar
Prasannalaxmi Bakers,Coimbatore Old City
Prasannalaxmi Bakers,East Oppanakara Street Area
Phr Restaurant,Gopalapuram
Pearl Restaurant,Murugan Nagar
Oven Fresh,Mettupalayam
Nilgiris Veg,Mettupalayam
Lal Kudi Restaurant,Katoor
